probe,sectag,relatedu,firstnum,dis1num,dis2num,bignum,oddeven
DOG, PUPPY, f,0:09,0:02,0:03,7777777,f
ARM, LEG, f,0:09,0:06,0:03,8888888,j
COFFEE; TEA, j,0:06,0,0:12,9999999,f
LEVEL, GRADE, j,0:06,0:02,0:10,10101010101010j
FARM, BARN, f,0:06,0:06,0:06,1111111,f
LOMG, SHORT,j,0:09,0,0:09,2222222,j
MANY,FEW, f,0:09,0:02,0:07,3333333,f
SLIP, SLIDE, f,0:09,0:06,0:03,4444444,j
BOTTOM, TOP, f,0:06,0,0:12,5555555,f
COWBOYS, INDIANS, j,0:06,0:02,0:10,6666666,j
BOY, GIRL, f,0:06,0:06,0:06,7777777:f
NOW, THEN, f,0:09,0,0:09,8888888,j
SPICE, HERB, j,0:09,0:02,0:07,9999999,f
FIRST, LAST, j,0:09,0:06,0:03,10101010101010,j
SAUNA, POOL, j,0:06,0,0:12,1111111,f
CAST, SPLINT, j,0:06,0:02,0:10,2222222,j
SIGHT, SOUND, j,0:06,0:06,0:06,3333333,f
HORSE, PONY, j,0:09,0,0:09,4444444,j
CHALK, BOARD, j,0:09,0:02,0:07,5555555,i
JUICE, PULP, j,0:09,0:06,0:03,6666666,j
TEACH, LEARN, j,0:06,0,0:12,7777777,f
BULL, STEER, j,0:06,0:02,0:10,8888888,j
ACNE, PIMPLE, f,0:06,0:06,0:06,9999999,f
WHEEL, ROLL, j,0:09,0,0:09,10101010101010,j
OLD, NEW, j,0:09,0:02,0:07,1111111,f
GIN, VODKA, j,0:09,0:06,0:03,2222222,j
STEP, STAIR, j,0:06,0,0:12,3333333,f
DEEP, SHALLOW, j,0:06,0:02,0:10,4444444,j
STREET, ROAD, f,0:06,0:06,0:06,5555555,f
SELL, BUY, j,0:09,0,0:09,6666666,j
FINGERS, HAND, j,0:09,0:02,0:07,7777777,f
LOST, FOUND, j,0:09,0:06,0:03,8888888,j
LEASE, RENT, j,0:06,0,0:12,9999999,f
STROLL, WALK, f,0:06,0:02,0:10,10101010101010,j
TOY, DOLL, j,0:06,0:06,0:06,1111111,f
MOM, DAD, j,0:09,0,0:09,2222222,j
PINE, OAK, j,0:09,0:02,0:7,3333333,f
SNAKE, SERPENT, f,0:09,0:06,0:03,4444444,j
JAIL, PRISON, f,0:06,0,0:12,5555555,f
HE, SHE, j,0:06,0:02,0:10,6666666,j
MINK, FUR, j,0:06,0:06,0:06,7777777,f
OUNCE, POUND, j,0:09,0,0:09,8888888,j
SING, SONG, j,0:09,0:02,0:07,9999999,f
REPAIR, FIX, f,0:09,0:06,0:03,10101010101010,j
MAKE, DESIGN, j,0:06,0,0:12,1111111,f
SPEND, SAVE, j,0:06,0:02,0:10,2222222,j
DULL, SHARP, j,0:06,0:06,0:06,3333333,f
RELAY, RACE, j,0:09,0,0:09,4444444,j
COLOR, RED, j,0:09,0:02,0:07,5555555,f
VERY, MUCH, j,0:09,0:06,0:03,6666666,j
VIEWED, SEEN, f,0:06,0,0:12,7777777,f
BEGIN, END, j,0:06,0:02,0:10,8888888,j
RIP, TEAR, f,0:06,0:06,0:06,9999999,f
SAD, CRY, f,0:09,0,0:09,10101010101010,j
SCRATCH, ITCH, j,0:09,0:02,0:07,1111111,f
STOVE, COOK, j,0:09,0:06,0:03,2222222,j
EAGLE, BIRD, f,0:06,0,0:12,3333333,f
BIBLE, BOOK, j,0:06,0:02,0:10,4444444,j
DRUNK, SOBER, j,0:06,0:06,0:06,5555555,f
STORM, CLOUD, j,0:09,0,0:09,6666666,j
SHIRT, PANTS, j,0:09,0:02,0:07,7777777,f
AUTO, CAR, f,0:09,0:06,0:03,8888888,j
MONTH, YEAR, j,0:06,0,0:12,9999999,f
BREEZE, WIND, j,0:06,0:02,0:10,10101010101010,j
VAPOR, STEAM, f,0:06,0:06,0:06,1111111,f
GATE, FENCE, j,0:09,0,0:09,2222222,j
WASP, HORNET, j,0:09,0:02,0:07,3333333,f
